  Config Req (0x887): 8059
  GPS Sent (0x777): 166
  Time Sync (0x7FF): Never
  Any Incoming: 9
  Any Outgoing: 166
│ 2026-03-28 12:14:07.60  │ 51.553440 │ -0.155701 │ 39.2 │   0.29 │   0.47 │ 684.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      24 │       9 │     409 │       0 │     409 │    8059 │     166 │       0 │       9 │     166 │
│ 2026-03-28 12:14:07.80  │ 51.553442 │ -0.155702 │ 39.7 │   0.30 │   0.49 │ 684.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      10 │      95 │     595 │       0 │     595 │    8245 │     144 │       0 │      10 │     144 │
ph, Lockup=NO
│ 2026-03-28 12:14:08.20  │ 51.553441 │ -0.155703 │ 39.7 │   0.25 │   0.40 │ 684.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      24 │       9 │     810 │       0 │     810 │    8460 │     154 │       0 │       9 │     154 │
│ 2026-03-28 12:14:08.30  │ 51.553441 │ -0.155703 │ 39.8 │   0.23 │   0.37 │ 684.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      67 │      54 │      55 │       0 │      55 │    8705 │     194 │       0 │      54 │     194 │
┌─────────────────────────┬──────────┬──────────┬──────┬────────┬────────┬──────┬──────────┬────────┬──────────┬──────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┬─────────┐
│ Timestamp               │ Lat      │ Lng      │ Alt  │ SpdMPH │ SpdKMH │ HDOP │ Sats     │ Volt   │ LatG     │ LongG    │ BtnL    │ BtnR    │ BtnW    │ BtnS    │ LedL    │ LedR    │ LedW    │ LedS    │ WSpdFL  │ WSpdFR  │ WSpdRL  │ WSpdRR  │ Lockup  │ T_Dash  │ T_RPM   │ T_Cool  │ T_Btn   │ T_CfgD  │ T_CfgR  │ T_GPS   │ T_Time  │ T_In    │ T_Out   │
├─────────────────────────┼──────────┼──────────┼──────┼────────┼────────┼──────┼──────────┼────────┼──────────┼──────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┼─────────┤
│ 2026-03-28 12:14:08.50  │ 51.553440 │ -0.155702 │ 39.8 │   0.20 │   0.32 │ 684.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     281 │     167 │     269 │       0 │     269 │    8919 │     203 │       0 │     167 │     203 │
Main collection (5Hz): batchCount=66, batchIndex=66, timestamp=2026-03-28 12:14:08.50, fuel=0.00V
[143958] MISSING SEQUENCE! msg_id=0x0280, expected=1125, got=1126, missing=1, total_missing=31
[144048] MISSING SEQUENCE! msg_id=0x0333, expected=111, got=112, missing=1, total_missing=32
│ 2026-03-28 12:14:08.70  │ 51.553439 │ -0.155702 │ 39.8 │   0.20 │   0.31 │ 684.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      56 │      46 │     446 │       0 │     446 │    9096 │     177 │       0 │      46 │     177 │
│ 2026-03-28 12:14:08.90  │ 51.553439 │ -0.155702 │ 39.8 │   0.16 │   0.26 │ 684.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      76 │      61 │     661 │       0 │     661 │    9311 │     185 │       0 │      61 │     185 │
GPS Send Check: Location=YES, Speed=YES, Speed value=0.30
